revid,parentid,timestamp,user,anon,minor,size,sha1,comment,page,lang
707514,707501,2004-08-13T20:04:11Z,François-Dominique,False,True,4423,3b5ddacd3577a87a73087094f43339f8ac110477,/* Histoire du vaccin */,Vaccination,fr
724301,707514,2004-08-13T20:08:19Z,François-Dominique,False,True,5012,1e9916ec96f95a6ab10b7bd2463a4b3dccb7e4ca,/* Vaccins obligatoires */,Vaccination,fr
732158,724301,2004-08-16T20:40:49Z,MedBot,False,True,4992,221ae454d6ed3eab520ddb0d22eccb3ad52153e3,Med - Robot: Automated text replacement,Vaccination,fr
742221,732158,2004-08-17T04:18:36Z,MedBot,False,True,4972,c291166fb95da994737a86a89f519730d29b91b5,Med - Robot: Automated text replacement,Vaccination,fr
823717,742221,2004-08-19T11:08:06Z,MedBot,False,True,4952,2f866827d8973e2628a1901193b9740b9a88436b,Med - Robot: Automated text replacement,Vaccination,fr
856479,823717,2004-09-09T23:51:04Z,MedBot,False,True,4942,65d823ddf6343e5ac812e4da835c91fe868da07e,Med - Bot : Remplacement de texte automatisé (-&nbsp;; + ;),Vaccination,fr
959386,856479,2004-09-18T12:29:34Z,Med,False,True,4941,3c9eed8590b99399b12d63054f47585322c1a814,œ,Vaccination,fr
960522,959386,2004-10-14T22:39:40Z,Tieum,False,True,4955,2cd73f20acf9678a2b322847eb3dc93434c07129,série,Vaccination,fr
970652,960522,2004-10-15T11:42:28Z,Kelson,False,True,4988,435e385bcc0395aba27a13cbaf15c26a72aa6af2,,Vaccination,fr
996336,970652,2004-10-17T20:27:54Z,Sam Hocevar,False,True,4987,d23a3277273de62b29aed5d943f7ff4dacf0d94f,fût → fut,Vaccination,fr
1055581,996336,2004-10-26T21:43:49Z,Orthogaffe,False,True,4982,c9a8e78e24118e7dfd63e7a9260e568a47840da6,s/\n\{\{[Ll][ie]\}\} */\n* /,Vaccination,fr
1414891,1055581,2004-11-09T23:31:40Z,81.51.4.25,True,True,4985,a44583caf78965838d06d80cbaf0feb11cb90967,,Vaccination,fr
1414903,1414891,2005-02-02T13:10:04Z,82.65.243.75,True,True,4985,339f2bf24768d616c56dd46434100e3b2654495e,/* Le grain de sable */,Vaccination,fr
1477844,1414903,2005-02-02T13:15:36Z,Céréales Killer,False,True,4985,a44583caf78965838d06d80cbaf0feb11cb90967,Restauration de la dernière version de 81.51.4.25,Vaccination,fr
1481619,1477844,2005-02-16T08:10:56Z,Spedona,False,True,5023,32c1d40c8223538a89816a8968c96d096c1c8dfb,/* autres vaccins en France */liens,Vaccination,fr
1546832,1481619,2005-02-16T21:06:51Z,Erasmus,False,True,5041,a62e24866cf2b62c414b2d8ba41600f2ea69fa55,/* vaccinations internationales */,Vaccination,fr
1598745,1546832,2005-03-04T14:34:33Z,Renato Caniatti~frwiki,False,True,5061,61f7bf6564c739158d0a347d678b9426a08d46ce,it:Vaccinazione,Vaccination,fr
1725278,1598745,2005-03-13T19:17:59Z,Bob08,False,True,5061,cc616ff5180d1bbdb85535ca00e9f03bf325c531,/* Principe du vaccin */ typo,Vaccination,fr
1725446,1725278,2005-04-04T10:15:57Z,Ske,False,True,5372,a935ac38a31d1293e3ca970d3109f3ca5554225e,/* Histoire du vaccin */ réécriture sous une  forme plus informative,Vaccination,fr
1736597,1725446,2005-04-04T11:02:46Z,Ske,False,True,6778,31798884ac8cd028efbeb15c8fcbad40467a4607,/* Principe du vaccin */ depuis [[Vaccination préventive]],Vaccination,fr
1736605,1736597,2005-04-06T11:50:04Z,82.225.162.74,True,True,7059,765158d6ac70cac8b41494fbb52a29f021bec5b9,,Vaccination,fr
1789815,1736605,2005-04-06T11:51:24Z,Ci-gît le sage,False,True,6778,31798884ac8cd028efbeb15c8fcbad40467a4607,Rv dernière version de Ske ; Vandalisme,Vaccination,fr
1789832,1789815,2005-04-13T11:45:13Z,194.51.29.164,True,True,6739,8a62606ce898bf0233ae525fc9698753c35e17b9,/* Histoire du vaccin */,Vaccination,fr
1980928,1789832,2005-04-13T11:49:33Z,Ske,False,True,6778,31798884ac8cd028efbeb15c8fcbad40467a4607,Restauration de la dernière version de Sylvano,Vaccination,fr
2192989,1980928,2005-05-14T12:25:30Z,Gédé,False,True,6840,c630185ddaf91cfad462ed126f124e6fa9c99054,/* Histoire du vaccin */ typos + détails,Vaccination,fr
2297460,2192989,2005-06-14T17:21:43Z,Sanao,False,True,6861,55141ce02030e9201485e9878517dfc4c7e5a3dd,présentation,Vaccination,fr
2391069,2297460,2005-06-27T15:39:40Z,62.34.189.214,True,True,6902,5488dea1cd95e1fb6a09f21c4df6b4ad3481e38c,,Vaccination,fr
2621409,2391069,2005-07-05T16:26:38Z,Chobot,False,True,7167,5e9e1040eb05d112b0d5010decc4d8a070d216b4,"interlang  Ajoute: sl, th, he, id, cs, pl, es, ja, nl, sv, pt, ca, da, nb, ru, ko Modifie: de, it, en",Vaccination,fr
2644706,2621409,2005-07-08T10:02:17Z,Cdang,False,True,7335,475c85961bf6a353308e134e8fb5bfb05c533ea7,/* Liens externes */,Vaccination,fr
2731764,2644706,2005-07-16T18:09:22Z,Phe-bot,False,True,7335,64c63f97bb721b45198d73c57e90fd518da53dce,Bot : Remplacement de texte automatisé  (-\[\[([[XIV]*)e siècle\]\] +{{\1e siècle}}),Vaccination,fr
2782182,2731764,2005-07-21T19:58:16Z,Erasmus,False,True,7329,3fa5d36e8e35ee31b60003f19c8612294584cba9,,Vaccination,fr
2793628,2782182,2005-07-23T07:03:07Z,81.65.100.146,True,True,7877,ec038ed0d6d5e0df1487ee4cf8a7fdaa052eaa53,/* Vaccins obligatoires */,Vaccination,fr
2793664,2793628,2005-07-23T07:12:05Z,81.65.100.146,True,True,7869,37bea4324e5ee6abf5039b985cbdc97deaeae260,/* Vaccins obligatoires */,Vaccination,fr
2916775,2793664,2005-08-05T07:00:40Z,Ayin,False,True,7329,3fa5d36e8e35ee31b60003f19c8612294584cba9,Réversion point de vue non-neutre,Vaccination,fr
2918021,2916775,2005-08-05T08:54:40Z,Gédé,False,True,7629,4210873d102cbea444f52b77101ffb8dedfb6a3c,/* Vaccins obligatoires */ Réintroduction des informations factuelles non partisanes,Vaccination,fr
3586412,2918021,2005-10-05T20:59:39Z,81.66.86.23,True,True,8226,db695a7e2e12e95f40d2bb48fb3c8d634eacbd8b,[[informations factices rétablies dans leur totalité. Sinon partialité par omission et nécessité d'enlever toutes les approximations]],Vaccination,fr
3586833,3586412,2005-10-05T21:46:07Z,Gédé,False,True,8183,412b4ad7e4e5b0fce909479fb9e29f75dba91831,/* Vaccins obligatoires */ re-neutralisation.,Vaccination,fr
3594386,3586833,2005-10-06T16:52:07Z,Ayin,False,True,7667,0f676b7ad1b27d098edcda34f94a118101206dc4,/* Vaccins obligatoires */ Peines privatives de liberté ? Ça ne veut rien dire. + Suppression des commentaires inutiles (l'historique est là pour conserver les anciennes versions),Vaccination,fr
3596983,3594386,2005-10-06T22:10:34Z,Erasmus,False,True,7663,fc310a8d1ca4e181b1e3e52c5b74a536dac68eb5,,Vaccination,fr
3597026,3596983,2005-10-06T22:15:51Z,Erasmus,False,True,7636,b2950a6459e44d193277422da67154e1212bdafc,,Vaccination,fr
3603570,3597026,2005-10-07T13:25:02Z,Gédé,False,True,7635,79c1f478f8e196e3c61dc17f0a9eeb339a4c57d5,/* Histoire du vaccin */ typos,Vaccination,fr
3603589,3603570,2005-10-07T13:26:03Z,Gédé,False,True,7644,ad80594ea3677dfb437e301c22db4e7b49129182,/* Histoire du vaccin */ typos,Vaccination,fr
3636809,3603589,2005-10-09T18:58:08Z,Jakram,False,True,7690,b1ddd7bce12990a9ceb6dc54833142a7aac8fd8d,"Ayin pour votre gouverne : classification tripartite des peines ( contraventionnelles, délictuelles, criminelles). Les peines dites privatives de libertés:condamnations à de la prison ferme",Vaccination,fr
3637108,3636809,2005-10-09T19:45:39Z,Ayin,False,True,7676,88967a7e0da39e68f749a9ca54db7cdcc13c1a13,"/* Vaccins obligatoires */ - Si c'est passible de prison ferme, autant le dire clairement, mais est-ce vrai? Rien trouvé de plus précis que l'article L3111-1 du Code de la Santé Publique.",Vaccination,fr
3809742,3637108,2005-10-23T05:41:04Z,Phe-bot,False,True,7677,17b896b4302b2232c77f38d8a9549489c1d3fa35,Bot : Remplacement de texte automatisé  (-]: +] :),Vaccination,fr
3849555,3809742,2005-10-26T12:46:28Z,62.35.138.12,True,True,7814,2626e205688ba75980703b5811044346b0bd9d7a,/* autres vaccins en France */,Vaccination,fr
4295539,3849555,2005-11-29T22:23:21Z,Pixeltoo,False,True,7818,6ce17e20f52e305a384bff955539675c32a22a8d,rhume des foins,Vaccination,fr
4434730,4295539,2005-12-09T15:54:05Z,145.232.254.20,True,True,12537,5e67ae6b1c1fa9359489750239ad7a7d3266012b,,Vaccination,fr
4516864,4434730,2005-12-14T16:53:39Z,217.128.150.147,True,True,11674,016c1889c1a16802c30e69b991bc98f2a4c7954e,/* Vaccination préventive */,Vaccination,fr
4516930,4516864,2005-12-14T16:55:43Z,Phe,False,True,12537,5e67ae6b1c1fa9359489750239ad7a7d3266012b,Révocation des modifications de [[Special:Contributions/217.128.150.147|217.128.150.147]] et restauration d'une précédente version de 145.232.254.20,Vaccination,fr
4517226,4516930,2005-12-14T17:09:51Z,Phe,False,True,7818,6ce17e20f52e305a384bff955539675c32a22a8d,"revert à la version du 29 novembre 2005 à 23:23 Pixeltoo, voir page de discussion",Vaccination,fr
4538643,4517226,2005-12-15T20:13:57Z,Nguyenld,False,True,8120,1087c9e7e95cec56780650d8a1160a89d5d31e54,Le marché des vaccins,Vaccination,fr
4538823,4538643,2005-12-15T20:20:44Z,Nguyenld,False,True,8490,61ece46d5b08fbaef5e531ee411a3ff699409d54,/* Le marché des vaccins */,Vaccination,fr
4540049,4538823,2005-12-15T21:21:07Z,Gédé,False,True,8491,45850dad0f6e2c6942503bb3e8c021b17c28affa,/* Vaccins et santé publique */ typos,Vaccination,fr
4684601,4540049,2005-12-24T06:01:02Z,216.68.185.27,True,True,8523,8725eee5947cd32f2151b989da1feea8eb30d6ee,+vi: (featured); I am [[en:User:Mxn]] [[vi:User:Mxn]],Vaccination,fr
4987149,4684601,2006-01-12T14:36:59Z,62.160.16.135,True,True,8537,20d48b6bfe5181607cffef16b3f3b54b1f735ee7,/* Vaccins et santé publique */,Vaccination,fr
4987240,4987149,2006-01-12T14:43:52Z,62.160.16.135,True,True,8562,2fd294c6caf7f0a80d79cc067c03db1cdaa496fd,/* Voir aussi */,Vaccination,fr
4987260,4987240,2006-01-12T14:44:50Z,62.160.16.135,True,True,8537,20d48b6bfe5181607cffef16b3f3b54b1f735ee7,/* Voir aussi */,Vaccination,fr
4987264,4987260,2006-01-12T14:45:06Z,62.160.16.135,True,True,8575,47f3069fea7ef1fd1718e17b88407a48d1a6efc9,/* Liens externes */,Vaccination,fr
4987266,4987264,2006-01-12T14:45:17Z,Le gorille,False,True,8561,e2255606a04f9b835b8a2fe9850b6dd550a8ea8d,revert vand,Vaccination,fr
4987288,4987266,2006-01-12T14:46:57Z,62.160.16.135,True,True,8578,ac6cf392d869b23224d6015f5f460ab820336caf,/* Vaccins et santé publique */,Vaccination,fr
4987324,4987288,2006-01-12T14:49:24Z,Le gorille,False,True,8561,e2255606a04f9b835b8a2fe9850b6dd550a8ea8d,revert vand,Vaccination,fr
5037249,4987324,2006-01-15T14:59:50Z,24.37.86.61,True,True,8523,8725eee5947cd32f2151b989da1feea8eb30d6ee,,Vaccination,fr
5037262,5037249,2006-01-15T15:00:45Z,24.37.86.61,True,True,8566,a52a0ca959d649efe5c8c9f3dd9ba982d44c2ac3,,Vaccination,fr
5037266,5037262,2006-01-15T15:01:00Z,24.37.86.61,True,True,8523,8725eee5947cd32f2151b989da1feea8eb30d6ee,,Vaccination,fr
5081270,5037266,2006-01-17T22:35:56Z,69.70.191.8,True,True,8547,90fbe6d9b88004bb2896970ce2f161c3bc0d4bcc,/* Vaccination thérapeutique */,Vaccination,fr
5081296,5081270,2006-01-17T22:37:57Z,Kelson,False,True,8523,8725eee5947cd32f2151b989da1feea8eb30d6ee,rv,Vaccination,fr
5268393,5081296,2006-01-28T00:55:06Z,70.49.93.179,True,True,8520,36b95cbb9bd3d38efaeafcb7ed8e48dc8b76e990,Bon bo<,Vaccination,fr
5268680,5268393,2006-01-28T01:38:16Z,Nguyenld,False,True,8524,1da759b8667acca1079bc43674da2fedbd5d5598,/* Vaccination préventive */ reversion,Vaccination,fr
5311013,5268680,2006-01-30T16:51:50Z,83.114.50.246,True,True,9933,354818a66aafeab90fb282ae65baacd536a6384a,/* Vaccins et santé publique */,Vaccination,fr
5311131,5311013,2006-01-30T16:59:30Z,83.114.50.246,True,True,10027,0c36736c0b0e70da6510814984438a140ba159c8,/* Liens externes */,Vaccination,fr
5311208,5311131,2006-01-30T17:05:33Z,83.114.50.246,True,True,9672,e20970c14fe3b2bf71e2052d6ab87e6a1ac71c97,/* Vaccins et santé publique */,Vaccination,fr
5451008,5311208,2006-02-06T18:22:41Z,84.4.213.25,True,True,9674,d4d752258d8e317bbc2283ccbde875372ff125e5,/* vaccinations internationales */,Vaccination,fr
5485870,5451008,2006-02-08T14:38:16Z,84.97.23.3,True,True,9725,9e716c84b49f10628a338398686d50bf522a5667,/* Vaccination thérapeutique */,Vaccination,fr
5485884,5485870,2006-02-08T14:39:16Z,84.97.23.3,True,True,9674,d4d752258d8e317bbc2283ccbde875372ff125e5,/* Vaccination thérapeutique */,Vaccination,fr
5553993,5485884,2006-02-12T13:59:05Z,MedBot,False,True,9626,43fcf5ea09cb8fee3abb45cec6253aea888afa8f,robot : conversion des entités en utf-8,Vaccination,fr
5691939,5553993,2006-02-20T16:58:25Z,132.169.9.160,True,True,9627,4b51be8fbe12c46ad9b2beac3df557a5e40f4599,/* Vaccination thérapeutique */,Vaccination,fr
6351001,5691939,2006-03-29T13:29:02Z,195.93.102.74,True,True,9626,f9d84d469865123ecfa6b9d28af75ca6e4a09ee3,/* Vaccins obligatoires */,Vaccination,fr
6352795,6351001,2006-03-29T15:11:22Z,Gédé,False,True,9624,78e9e57081bbcf9912d3cdb7ae03c6748e44a6ab,/* Vaccins obligatoires */ Réversion d'un ajout de faute d'orthographe + correction incubation,Vaccination,fr
6352832,6352795,2006-03-29T15:13:36Z,Nguyenld,False,True,9627,4b51be8fbe12c46ad9b2beac3df557a5e40f4599,,Vaccination,fr
6378691,6352832,2006-03-31T00:48:31Z,193.250.229.190,True,True,9743,ceb0c3896c2263a28668358b14ac21c8e24ed3e5,/* Vaccins et santé publique */,Vaccination,fr
6378817,6378691,2006-03-31T01:17:18Z,193.250.229.190,True,True,9972,c97afaf2fd7f169f057e4a0a89179553686cfc3f,/* Principe du vaccin */,Vaccination,fr
6378842,6378817,2006-03-31T01:22:33Z,Boréal,False,True,9627,4b51be8fbe12c46ad9b2beac3df557a5e40f4599,Révocation des modifications de [[Special:Contributions/193.250.229.190|193.250.229.190]] (retour à la précédente version de [[Utilisateur:Nguyenld|Nguyenld]]),Vaccination,fr
6565722,6378842,2006-04-07T15:56:45Z,87.90.237.19,True,True,9665,230a15b5cc9794fc6a349f471b1d222c87d0495a,,Vaccination,fr
6566205,6565722,2006-04-07T16:20:24Z,Nguyenld,False,True,9627,4b51be8fbe12c46ad9b2beac3df557a5e40f4599,- bandeau désaccord de neutralité aposé par ip sans justif dans page de discussion,Vaccination,fr
6609795,6566205,2006-04-10T06:37:33Z,194.254.29.74,True,True,9656,3f47e575c22b0e7c3bc9f6868d84a72538f4f574,/* vaccinations internationales */,Vaccination,fr
6609974,6609795,2006-04-10T06:57:41Z,Nguyenld,False,True,9627,4b51be8fbe12c46ad9b2beac3df557a5e40f4599,/* vaccinations internationales */ suppression de la vaccination anti aphteuse,Vaccination,fr
6751941,6609974,2006-04-17T13:46:11Z,83.114.185.66,True,True,9558,225c7be973cf71f43eaf30c98dd4d56efd101840,/* Histoire du vaccin */,Vaccination,fr
6751972,6751941,2006-04-17T13:47:19Z,Mith,False,True,9627,4b51be8fbe12c46ad9b2beac3df557a5e40f4599,,Vaccination,fr
7023423,6751972,2006-05-01T08:48:38Z,81.240.239.250,True,True,9624,945011c85778bab996a1e1f3526eae2ce9a1bdbb,,Vaccination,fr
7162037,7023423,2006-05-08T19:22:50Z,Arthemis~frwiki,False,True,9689,3e438452bcd37af59db0bc91755bf8df18cf7448,/* Liens externes */,Vaccination,fr
7163032,7162037,2006-05-08T20:18:58Z,Nguyenld,False,True,9624,945011c85778bab996a1e1f3526eae2ce9a1bdbb,retrait d'un lien antivaccinal qui ne s'annonce pas comme tel et dont la qualité scientifique est extèmement discutable,Vaccination,fr
7251082,7163032,2006-05-13T15:08:23Z,84.5.110.30,True,True,9053,8f1d82aa9600a70f80187f5dbabb2f60ddb86366,/* Vaccination thérapeutique */,Vaccination,fr
7251128,7251082,2006-05-13T15:11:18Z,Hégésippe Cormier,False,True,9624,945011c85778bab996a1e1f3526eae2ce9a1bdbb,Révocation des modifications de [[Special:Contributions/84.5.110.30|84.5.110.30]] (retour à la précédente version de [[Utilisateur:Nguyenld|Nguyenld]]),Vaccination,fr
7685089,7251128,2006-06-02T16:58:47Z,81.48.26.127,True,True,9624,d8a6b80d4837022ed12b83f456fa3609f03a08ea,,Vaccination,fr
7938970,7685089,2006-06-14T07:51:41Z,Devise,False,True,10066,3bc74ceb3d6103e937c339585b0a416fcf05a6d9,ajout liens internes,Vaccination,fr
7939323,7938970,2006-06-14T08:16:02Z,Nguyenld,False,True,10149,59db027c73fe90b53c95a86ab16b0d481dc60cba,relativiser l'opposition,Vaccination,fr
8202520,7939323,2006-06-26T10:03:39Z,193.109.251.41,True,True,10248,13ced1117678877a744ed240e2ac678781817057,,Vaccination,fr
8202586,8202520,2006-06-26T10:06:33Z,193.109.251.41,True,True,10259,49e4a805e328994d88cd82b3e9cb2b1afac935b9,/* Liens externes */,Vaccination,fr
8385515,8202586,2006-07-02T11:10:07Z,Gadjo,False,True,11142,803ce11ea79759166f49e5f8a60db9b2dbd30b41,amendes et peines de prisons pour insoumission (CSP),Vaccination,fr
8386029,8385515,2006-07-02T11:47:17Z,Nguyenld,False,True,10812,f437aba5874f0c3dd4d1ffe849e7b9a244b77dce,"/* Spécifiquement en France */ suppression d'une ""hypothèse"" et mise en avance d'un ""fait"" :",Vaccination,fr
8574074,8386029,2006-07-11T00:00:45Z,Arnaud.Serander,False,True,10814,a3f289bd53d76dda2bcc9316f51f6f1c887c7e64,/* Liens externes */,Vaccination,fr
8709724,8574074,2006-07-16T16:12:51Z,Belleviolette,False,True,11063,ae86ffa01bddff912ba2a20b408521be21cad2bc,/* vaccinations internationales */,Vaccination,fr
8710132,8709724,2006-07-16T16:29:50Z,Belleviolette,False,True,10814,a3f289bd53d76dda2bcc9316f51f6f1c887c7e64,/* vaccinations internationales */,Vaccination,fr
8710159,8710132,2006-07-16T16:31:32Z,Belleviolette,False,True,11051,3521ceae59cb8fb594fa7d0b8fec711d49cacd40,/* Spécifiquement en France */,Vaccination,fr
8751453,8710159,2006-07-18T08:38:18Z,Bronite,False,True,11381,a213e1bdbd85ed6676c529780c93ce058587097d,relativiser l'excès de relativisation de la profitabilité des vaccins,Vaccination,fr
9399305,8751453,2006-08-17T08:36:13Z,Gédé,False,True,11400,99983606823f4df087762d2162589e155c39797a,/* Spécifiquement en France */ typos,Vaccination,fr
9996790,9399305,2006-09-10T19:52:27Z,86.206.99.97,True,True,11289,4212bb21ac8625e91d09cea2801c6c79a22f7a5d,,Vaccination,fr
10047515,9996790,2006-09-13T01:41:54Z,Po mercier,False,True,11947,c4329fd9fe2c4a04b8b50d5039f5970c2dce7bbf,"histoire+racine latine+info en général - Aylzemher (manque de dopamine, pas du au système immunitaire)",Vaccination,fr
10048956,10047515,2006-09-13T06:40:32Z,Nguyenld,False,True,11997,c5c5dbda15b559e12a8d048b35a0719604bdba5d,mise des notes en bas de page,Vaccination,fr
10092464,10048956,2006-09-15T03:27:58Z,Moez,False,True,12181,3a83d057f06bde83534902be1f39da6f4194f61b,"typos, bricoles, etc",Vaccination,fr
10172765,10092464,2006-09-18T09:11:23Z,82.244.17.205,True,True,12289,edb5663f8df4ced4dfbf0006ddec5597d28bf6c5,/* Liens externes */,Vaccination,fr
10173194,10172765,2006-09-18T09:25:38Z,Phe,False,True,12181,3a83d057f06bde83534902be1f39da6f4194f61b,Révocation des modifications de [[Special:Contributions/82.244.17.205|82.244.17.205]] (retour à la précédente version de [[Utilisateur:Moez|Moez]]),Vaccination,fr
10198415,10173194,2006-09-19T12:04:16Z,195.146.233.6,True,True,12176,dd57b91426543a1d10789da169495e6ead7f7beb,/* Vaccination préventive */,Vaccination,fr
10198548,10198415,2006-09-19T12:09:54Z,Nguyenld,False,True,12181,3a83d057f06bde83534902be1f39da6f4194f61b,reversion gaminerie,Vaccination,fr
10292926,10198548,2006-09-23T15:33:18Z,82.250.110.34,True,True,12180,5d750451e2bf9fad126ad8cae6351fb0b3af0dd6,,Vaccination,fr
10330386,10292926,2006-09-25T01:11:32Z,207.253.163.68,True,True,12682,dfa19da7c30c0dc92ac8bf2d6ee466ccda15434f,,Vaccination,fr
10330416,10330386,2006-09-25T01:15:35Z,207.253.163.68,True,True,12817,1339c630f1da55b035c66d471be65357019e6f4b,,Vaccination,fr
10330428,10330416,2006-09-25T01:17:35Z,207.253.163.68,True,True,12869,4776001fdf60413d0f95ac741551c53aafb53185,/* La vaccination en procès */,Vaccination,fr
10330467,10330428,2006-09-25T01:25:28Z,Ecritoire,False,True,12869,6ea97e5ef2a895b71debdf920c90dd8e2e7cb2e9,/* La vaccination en procès */,Vaccination,fr
10330483,10330467,2006-09-25T01:27:44Z,Ecritoire,False,True,12869,8b018b1e38cb5940cd033cf6e77207291ea16cf7,/* autres vaccins disponibles en France */,Vaccination,fr
10330487,10330483,2006-09-25T01:28:01Z,Ecritoire,False,True,12869,d3cd07087f67fc966f6b53b389ccbd3f9180ceeb,/* vaccinations internationales */,Vaccination,fr
10330493,10330487,2006-09-25T01:29:34Z,Ecritoire,False,True,12840,d81e498aed9f61c15684b424bf9c72f138553cef,/* La vaccination en procès */,Vaccination,fr
10330501,10330493,2006-09-25T01:31:31Z,Ecritoire,False,True,12839,58fc7356a334bfa4edd076e3de978dafe8cc643c,/* La vaccination en procès */,Vaccination,fr
10330502,10330501,2006-09-25T01:32:18Z,Ecritoire,False,True,12848,31534eacae0d65761210f8292d451073657f0e1b,/* La vaccination en procès */,Vaccination,fr
10331860,10330502,2006-09-25T06:13:49Z,Nguyenld,False,True,12182,e314dddb6c587719fa4b3f8e2c10e3a95ff74fee,"/* La vaccination en procès */ suppression d'une info non sourcée, le line citée n'étant pas en rapport avec l'info donnée",Vaccination,fr
10346869,10331860,2006-09-25T18:16:55Z,Ecritoire,False,True,12941,b6137e58223aa7521e9b9d2eda10eb0fbbc99551,,Vaccination,fr
10348354,10346869,2006-09-25T19:05:06Z,Nguyenld,False,True,12182,e314dddb6c587719fa4b3f8e2c10e3a95ff74fee,"La vaccination en procès - suppression d'une info non sourcée, le line citée n'étant pas en rapport avec l'info donnée",Vaccination,fr
10361125,10348354,2006-09-26T10:14:42Z,Rémih,False,True,12198,07ff78060dfaafd8a318b500ddadd149d2fe4a5d,Correction des [[Projet:Liens vers les pages d'homonymie|liens vers les pages d'homonymie]],Vaccination,fr
10462457,10361125,2006-09-29T15:55:29Z,Bob08,False,True,12197,d87f461b9c419107c816411d1c0b0c76db2d9d42,typo,Vaccination,fr
10555713,10462457,2006-10-02T18:49:01Z,MSBOT,False,True,12256,3c4efe4a6dd96161910a15fe8e14e1a5c291a72f,"robot  Ajoute: eo, fa, fi, nn, zh Retire: sv",Vaccination,fr
